"","sample_key","metal","site","analyst","X1","conc_blanked","conc_blanked_error","conc_unblanked","conc_unblanked_error"
"1",10,"As75","F","CYT",3,920.037174309796,173.725009159956,-1300.62986923145,-36.8098113666223
"2",10,"Cd111","F","CYT",4,40.8421187771614,837.857901624062,-3052.67158034787,-840.309101710933
"3",10,"Cd114","F","CYT",6,38.8329713921961,39.7876164275245,-3049.90709684338,-74.5142925352111
"4",10,"Cr52","F","CYT",5,3107.30578179694,225.874886678781,1913.86663106788,129.413460011027
"5",10,"Cr53","F","CYT",1,3146.83406014348,269.262402993616,2006.53814235689,174.420829956575
"6",10,"Pb208","F","CYT",2,26271.7410281376,2369.84840728461,24945.5986019859,550.698886923275
"7",12,"As75","F","DJHR",13,3950.60613068987,280.501326129459,1905.57418349272,217.717805788248
"8",12,"Cd111","F","DJHR",15,91.8958153305168,467.108982491528,-2756.94834714882,-471.222643102706
"9",12,"Cd114","F","DJHR",17,111.215500970955,69.4968418062226,-2733.23258254578,-92.2034949725093
"10",12,"Cr52","F","DJHR",14,12552.507248859,374.798168630071,11453.4585655477,315.453759213762
"11",12,"Cr53","F","DJHR",18,12819.0205984073,394.640599364129,11768.9119889629,329.265656337924
"12",12,"Pb208","F","DJHR",16,112571.981786697,3391.39340936301,111350.725481794,2621.98907108305
"13",13,"As75","QC","DJHR",24,13221.2438827355,810.264777554052,11143.7337092108,776.853056299385
"14",13,"Cd111","QC","DJHR",22,2303.23709411584,434.057266286149,-590.851058613959,-430.642629978614
"15",13,"Cd114","QC","DJHR",20,2513.77426159998,86.1549097342792,-375.847995728551,-60.7297475588782
"16",13,"Cr52","QC","DJHR",23,53810.0528114881,1396.51517947222,52693.549558858,1363.18121097463
"17",13,"Cr53","QC","DJHR",21,55014.3616940128,1369.24093092226,53947.5757582641,1333.19032148974
"18",13,"Pb208","QC","DJHR",19,1176486.80069258,27786.3716305896,1175246.14897494,27674.5092181778
"19",14,"As75","D","CAG",27,2414.86477196511,217.013086749054,21.4645867544572,103.943991429774
"20",14,"Cd111","D","CAG",28,150.034849581657,191.017653817206,-3184.1058006216,-200.490857720769
"21",14,"Cd114","D","CAG",30,244.882649774308,53.223029881794,-3084.11305576551,-78.2086036179539
"22",14,"Cr52","D","CAG",26,16314.951772221,433.368852806979,15028.6817333603,367.577813724395
"23",14,"Cr53","D","CAG",29,16878.1254535849,453.024961990076,15649.1323594769,378.865923915611
"24",14,"Pb208","D","CAG",25,149275.064409626,3917.38366358913,147845.768857374,3006.86509991381
"25",15,"As75","QC","CAG",36,15431.3478188943,365.589101539001,13011.7307377902,267.077410742063
"26",15,"Cd111","QC","CAG",34,2585.93106040786,100.236386554758,-784.731195693362,-85.1486742464534
"27",15,"Cd114","QC","CAG",31,2852.31298259907,62.054131496668,-513.147971995654,-12.9939588549317
"28",15,"Cr52","QC","CAG",32,62542.3470641901,1443.2530109004,61241.9874435252,1407.49657106638
"29",15,"Cr53","QC","CAG",35,64519.0945835114,1402.07427597204,63276.6393094466,1362.13846296672
"30",15,"Pb208","QC","CAG",33,1378179.27358654,28139.4288189185,1376734.32177549,27999.2880538327
"31",16,"As75","F","JHV",40,5747.51786841638,211.522742410396,3593.58640478395,85.3310752736687
"32",16,"Cd111","F","JHV",39,120.195677771534,292.582081809318,-2880.3516168367,-299.03322584274
"33",16,"Cd114","F","JHV",41,149.468919527675,72.9530110560538,-2846.44820154848,-94.3952365759865
"34",16,"Cr52","F","JHV",37,19006.3848288329,511.137175258144,17848.8109619344,458.870285565872
"35",16,"Cr53","F","JHV",42,19276.0849533705,517.384787341814,18170.0572567305,458.483781822836
"36",16,"Pb208","F","JHV",38,158570.548734532,4210.01388263133,157284.259596657,3543.2910015185
"37",17,"As75","QC","JHV",48,15531.858054068,410.736085264306,13402.3838064508,333.638418923542
"38",17,"Cd111","QC","JHV",46,2633.39653705987,171.111984946373,-333.080484381704,-160.066048061771
"39",17,"Cd114","QC","JHV",44,2799.69249697076,67.483356278546,-162.206925106564,-16.7674513153849
"40",17,"Cr52","QC","JHV",43,62980.784440847,1572.97736400067,61836.3544620407,1540.97754264626
"41",17,"Cr53","QC","JHV",45,64956.2241581422,1543.52871669799,63862.7550590028,1508.83644861024
"42",17,"Pb208","QC","JHV",47,1361706.71611408,30752.1711140561,1360435.03238581,30645.1581229772
"43",18,"As75","D","SJB",51,2640.09142401494,303.398288329123,546.886931324925,250.558446203224
"44",18,"Cd111","D","SJB",52,120.078472984425,1220.00220786126,-2795.8727462855,-1221.47458810455
"45",18,"Cd114","D","SJB",50,224.13538418667,53.8104317439389,-2687.3162025727,-77.8250884525977
"46",18,"Cr52","D","SJB",49,14691.6809035547,413.734450016026,13566.7431514843,357.080993962258
"47",18,"Cr53","D","SJB",53,15070.8733503833,478.540036552661,13996.0284991261,422.629386553675
"48",18,"Pb208","D","SJB",54,123508.14588088,3525.48460482429,122258.121798052,2754.08684859937
"49",19,"As75","QC","SJB",57,10818.3210142387,300.519892340162,8697.75437131741,207.763913189853
"50",19,"Cd111","QC","SJB",60,2425.15270992244,120.390393629624,-528.9155187497,-106.973474407733
"51",19,"Cd114","QC","SJB",59,2565.76066334786,60.7891407324002,-383.7491140881,-10.3620252904986
"52",19,"Cr52","QC","SJB",55,44159.9780743001,1110.7342121751,43020.3352535751,1075.11139041624
"53",19,"Cr53","QC","SJB",56,45379.6571417506,1088.86448092704,44290.7620309998,1049.49414863414
"54",19,"Pb208","QC","SJB",58,1275117.68675346,28806.1908235328,1273851.32248655,28694.6449408315
"55",21,"As75","D","MD",68,1653.11448604603,344.841984232045,-634.879480040627,-294.882650099092
"56",21,"Cd111","D","MD",69,145.02830240505,1006.48402060441,-3042.27557468472,-1008.16416927581
"57",21,"Cd114","D","MD",70,140.166237260405,61.3475495295851,-3042.21928040977,-83.6910046387891
"58",21,"Cr52","D","MD",71,7897.04788998171,281.867264570139,6667.42565386058,197.217905968297
"59",21,"Cr53","D","MD",67,8017.07957940896,336.281190671607,6842.21179045467,253.702210802138
"60",21,"Pb208","D","MD",72,319691.981231198,6918.3908772212,318325.632377582,6473.67297156014
"61",22,"As75","E","SEP",76,5345.07458621748,214.078629733356,3362.3447750861,116.574460492702
"62",22,"Cd111","E","SEP",74,119.15082064133,187.525943065582,-2642.90297316712,-196.302305987814
"63",22,"Cd114","E","SEP",78,161.758052004997,34.4835976691065,-2596.03358989762,-65.6941964028896
"64",22,"Cr52","E","SEP",77,25739.5514444165,673.90191655687,24673.9854070387,633.455469600541
